iter	Passed	Remaining
464	750	863
465	751	860
466	751	858
467	752	855
468	753	853
469	754	850
470	755	848
471	756	846
472	757	843
473	758	841
474	759	839
475	760	836
476	761	834
477	762	832
478	763	830
479	764	828
480	765	825
481	766	823
482	767	821
483	768	819
484	769	817
485	770	814
486	771	812
487	772	810
488	773	808
489	774	805
490	775	803
491	776	801
492	776	798
493	777	796
494	778	794
495	779	792
496	780	789
497	781	787
498	782	785
499	782	782
500	783	780
501	784	778
502	785	776
503	786	773
504	787	771
505	788	769
506	789	767
507	789	765
508	790	762
509	791	760
510	792	758
511	793	756
512	794	753
513	795	751
514	795	749
515	796	747
516	797	745
517	798	743
518	799	740
519	800	738
520	801	736
521	801	734
522	802	732
523	803	729
524	804	727
525	805	725
526	806	723
527	806	721
528	807	719
529	808	717
530	809	715
531	810	712
532	811	710
533	812	708
534	812	706
535	813	704
536	814	702
537	815	700
538	816	698
539	817	696
540	818	694
541	819	692
542	820	690
543	821	688
544	821	686
545	822	684
546	823	681
547	824	679
548	825	677
549	826	675
550	826	673
551	827	671
552	828	669
553	829	667
554	830	665
555	831	663
556	832	661
557	832	659
558	833	657
559	834	655
560	835	653
561	836	651
562	837	649
563	837	647
564	838	645
565	839	643
566	840	641
567	841	639
568	842	637
569	843	636
570	844	634
571	845	632
572	845	630
573	846	628
574	847	626
575	848	624
576	849	622
577	850	620
578	851	618
579	851	616
580	852	614
581	853	613
582	854	611
583	855	609
584	856	607
585	857	605
586	858	603
587	859	601
588	859	600
589	860	598
590	861	596
591	862	594
592	863	592
593	864	590
594	864	588
595	865	586
596	866	585
597	867	583
598	868	581
599	869	579
600	870	577
601	870	575
602	871	573
603	872	572
604	873	570
605	874	568
606	875	566
607	875	564
608	876	562
609	877	560
610	878	559
611	879	557
612	879	555
613	880	553
614	881	551
615	882	550
616	883	548
617	884	546
618	884	544
619	885	542
620	886	541
621	887	539
622	888	537
623	889	535
624	890	534
625	890	532
626	891	530
627	892	528
628	893	526
629	894	525
630	895	523
631	895	521
632	896	519
633	897	518
634	898	516
635	899	514
636	900	512
637	900	511
638	901	509
639	902	507
640	903	506
641	904	504
642	905	502
643	906	500
644	907	499
645	907	497
646	908	495
647	909	494
648	910	492
649	911	490
650	912	489
651	913	487
652	913	485
653	914	483
654	915	482
655	916	480
656	917	479
657	918	477
658	919	475
659	920	474
660	921	472
661	922	470
662	923	469
663	924	467
664	925	466
665	926	464
666	927	463
667	928	461
668	929	460
669	931	458
670	932	457
671	933	455
672	934	454
673	935	452
674	937	451
675	938	449
676	939	448
677	940	446
678	942	445
679	943	444
680	944	442
681	945	441
682	947	439
683	948	438
684	949	436
685	950	435
686	952	433
687	952	432
688	953	430
689	954	428
690	955	427
691	957	425
692	958	424
693	959	423
694	960	421
695	961	420
696	962	418
697	963	417
698	965	415
699	966	414
700	967	412
701	968	411
702	969	409
703	970	408
704	971	406
705	973	405
706	974	403
707	975	402
708	976	400
709	978	399
710	979	398
711	980	396
712	981	395
713	982	393
714	984	392
715	985	390
716	986	389
717	987	387
718	988	386
719	989	384
720	991	383
721	992	382
722	993	380
723	994	379
724	995	377
725	997	376
726	998	374
727	999	373
728	1000	371
729	1001	370
730	1002	368
731	1003	367
732	1004	365
733	1005	364
734	1006	362
735	1007	361
