iter	RMSE
246	4.440439471
247	4.439251854
248	4.434374911
249	4.430981438
250	4.428051727
251	4.42254571
252	4.416649757
253	4.41399
254	4.410657596
255	4.409056994
256	4.406519945
257	4.405556807
258	4.400862976
259	4.399731631
260	4.398617847
261	4.39683037
262	4.392096252
263	4.389237493
264	4.385796633
265	4.382208608
266	4.379919615
267	4.379259723
268	4.372344921
269	4.370938835
270	4.367642646
271	4.362723337
272	4.361573293
273	4.355964617
274	4.351785467
275	4.34701649
276	4.344801587
277	4.339452381
278	4.33745676
279	4.333451343
280	4.33055939
281	4.328196128
282	4.327282692
283	4.323423346
284	4.321320274
285	4.319844055
286	4.317771732
287	4.315872641
288	4.312507272
289	4.307714188
290	4.305147626
291	4.304299927
292	4.304088413
293	4.299352482
294	4.294977867
295	4.291703242
296	4.288630593
297	4.283286293
298	4.279317857
299	4.275599176
300	4.271075943
301	4.266909969
302	4.262773342
303	4.261486648
304	4.259531163
305	4.255806876
306	4.25038844
307	4.249318759
308	4.243147368
309	4.242416908
310	4.239907361
311	4.236029792
312	4.233537844
313	4.229969294
314	4.226896225
315	4.221404713
316	4.219326035
317	4.21686542
318	4.212958285
319	4.208597691
320	4.207889298
321	4.203443433
322	4.198014373
323	4.19578808
324	4.191132443
325	4.187011726
326	4.183996678
327	4.179441188
328	4.176215308
329	4.17349504
330	4.170035346
331	4.168431231
332	4.165634206
333	4.163577555
334	4.161168201
335	4.159203
336	4.155227861
337	4.152001162
338	4.147542418
339	4.143319371
340	4.140920971
341	4.14025821
342	4.137095305
343	4.13479964
344	4.132777641
345	4.128887507
346	4.126513617
347	4.124638387
348	4.123767226
349	4.120446128
350	4.118653469
351	4.114521438
352	4.111099666
353	4.105358106
354	4.10442004
355	4.103659269
356	4.102329276
357	4.099993265
358	4.098364249
359	4.093183495
360	4.088451832
361	4.082530678
362	4.079845843
363	4.078991287
364	4.074302879
365	4.070937641
366	4.069453444
367	4.066431699
368	4.062440762
369	4.061951054
370	4.055521092
371	4.055301915
372	4.050087706
373	4.0462045
374	4.044479535
375	4.041668045
376	4.038351349
377	4.035588289
378	4.030958325
379	4.026944562
380	4.024640095
381	4.022257058
382	4.018067647
383	4.01532944
384	4.013530478
385	4.009541054
386	4.008294301
387	4.008054944
388	4.00326883
389	3.99970663
390	3.997980754
391	3.997401675
392	3.993263106
393	3.988778042
394	3.986383308
395	3.983126881
396	3.981707973
397	3.979685582
398	3.976689506
399	3.973535392
400	3.971175823
401	3.968701024
402	3.967450861
403	3.965154746
404	3.964626422
405	3.963448147
406	3.962523413
407	3.960525294
408	3.957054973
409	3.954537278
410	3.953810713
411	3.9523472
412	3.951832657
413	3.949965897
414	3.94573237
415	3.944274855
416	3.939903365
417	3.936652834
418	3.931215223
419	3.928954178
420	3.928269844
421	3.926467638
422	3.924719123
423	3.920890225
424	3.918975346
425	3.915424806
426	3.911986619
427	3.908678523
428	3.906341461
429	3.902205475
430	3.901585002
431	3.89920476
432	3.896162624
433	3.892298424
434	3.888328032
435	3.887959159
436	3.884548089
437	3.880079955
438	3.876799057
439	3.87394299
440	3.870979089
441	3.867748994
442	3.864986136
443	3.864269031
444	3.863432236
445	3.860128144
446	3.859232305
447	3.855332702
448	3.853315128
449	3.851579284
450	3.849762049
451	3.847458634
452	3.846746284
453	3.841619272
454	3.838056271
455	3.837904273
456	3.835820749
457	3.834202614
458	3.831055915
459	3.829100765
460	3.826570619
461	3.82472346
462	3.822842481
463	3.822451372
464	3.820862864
465	3.818775857
466	3.817082182
467	3.81224377
468	3.809891885
469	3.807975128
470	3.807413974
471	3.804244551
472	3.802163081
473	3.801704187
474	3.800117136
475	3.797498084
476	3.797169208
477	3.793760512
478	3.791684018
479	3.788866527
480	3.786742854
481	3.784355382
482	3.781781845
483	3.780481462
484	3.778607278
485	3.7773101
486	3.773999019
487	3.772080253
488	3.768006213
489	3.764641833
490	3.762624998
491	3.759440322
492	3.757274186
493	3.754823004
494	3.754398977
495	3.752138834
496	3.748375619
497	3.745747691
498	3.743213617
499	3.741756284
500	3.740696176
501	3.738652773
502	3.736152272
503	3.732760457
504	3.729753129
505	3.728191131
506	3.727824216
507	3.725894758
508	3.725562597
509	3.723585106
510	3.719297961
511	3.717662407
512	3.716929911
513	3.714411382
514	3.710334159
515	3.707134022
516	3.705884257
517	3.703452824
518	3.70005959
519	3.698826702
520	3.69575525
521	3.695310579
522	3.693793576
523	3.690877505
524	3.687878729
525	3.686832234
526	3.684104972
527	3.68069674
528	3.678220957
529	3.677171777
530	3.676701663
531	3.676634875
532	3.675506361
533	3.672347957
534	3.671155155
535	3.667498777
536	3.666698756
537	3.663946146
538	3.662304775
539	3.660341706
540	3.658547291
541	3.657489359
542	3.656218106
543	3.653183433
544	3.650322799
545	3.647387112
546	3.64473594
547	3.644054014
548	3.642311609
549	3.639636015
550	3.638237331
551	3.637320619
552	3.635915357
553	3.635111905
554	3.632097576
555	3.62812764
556	3.625863597
557	3.62472124
558	3.62185645
559	3.618958499
560	3.617138943
561	3.6143756
562	3.613042841
563	3.612507225
564	3.609964424
565	3.606920652
566	3.605418937
567	3.603266723
568	3.601320613
569	3.600757157
570	3.598566844
571	3.597739974
572	3.596598787
573	3.594877317
574	3.59124267
575	3.588239951
576	3.584990009
577	3.58276983
578	3.579734316
579	3.577869853
580	3.577085087
581	3.574464197
582	3.573715207
583	3.571202991
584	3.56926326
585	3.567823479
586	3.567111769
587	3.564944711
588	3.563446025
589	3.561140537
590	3.559052842
591	3.554810793
592	3.552210279
593	3.550898349
594	3.548109866
595	3.546731162
596	3.543997296
597	3.542786338
598	3.541542407
599	3.540185219
600	3.538749974
601	3.537129505
602	3.53433388
603	3.531823384
604	3.531202333
605	3.528037178
606	3.526496561
607	3.524562504
608	3.523318241
609	3.522559058
610	3.521478122
611	3.52101189
612	3.520417539
613	3.518054112
614	3.517272484
615	3.515895828
616	3.510950688
617	3.508646464
618	3.506848603
619	3.504490842
620	3.503511455
621	3.503188822
622	3.499147103
623	3.497281644
624	3.494156435
625	3.492397504
626	3.491324036
627	3.489299151
628	3.488242603
629	3.486186355
630	3.481881459
631	3.478831129
632	3.476801888
633	3.475295457
634	3.474971033
635	3.473314629
636	3.471568331
637	3.470679761
638	3.469908486
639	3.468288893
640	3.466779259
641	3.464718116
642	3.462036505
643	3.459706485
644	3.456469181
645	3.455098263
646	3.452983566
647	3.451484469
648	3.45142242
649	3.450628801
650	3.450379341
651	3.449691755
652	3.449224222
653	3.446600177
654	3.445060671
655	3.442872849
656	3.441165724
657	3.437118689
658	3.435477244
659	3.432830039
660	3.429489305
661	3.42874894
662	3.427070898
663	3.42504107
664	3.422416696
665	3.42009207
666	3.41780082
667	3.416477381
668	3.413154899
669	3.412136247
670	3.411295956
671	3.409164786
672	3.404922807
673	3.402708418
674	3.4003395
675	3.398363984
676	3.397146068
677	3.395207326
678	3.393658673
679	3.392437097
680	3.389674634
681	3.387855493
682	3.387679111
683	3.38654358
684	3.385571792
685	3.383972732
686	3.382616279
687	3.382427727
688	3.380257017
689	3.379895604
690	3.37887468
691	3.377236346
692	3.37637726
693	3.375949299
694	3.374141161
695	3.37213061
696	3.370894039
697	3.369184867
698	3.367216392
699	3.364417514
700	3.363524991
701	3.362482253
702	3.361338465
703	3.359714916
704	3.35753245
705	3.355646689
706	3.354461321
707	3.352183274
708	3.349833347
709	3.34585462
710	3.345304849
711	3.344667664
712	3.342791912
713	3.342138571
714	3.338700734
715	3.335236863
716	3.334634431
717	3.334211863
718	3.330647461
719	3.329149227
720	3.328326554
721	3.327607572
722	3.325285441
723	3.324319463
724	3.323226482
725	3.322885479
726	3.322143401
727	3.319973667
728	3.31902404
729	3.317558544
730	3.317201041
731	3.31558609
732	3.311477236
733	3.308872748
734	3.308111899
735	3.305426205
736	3.304259106
737	3.303404348
738	3.302072583
739	3.301151399
740	3.300117305
741	3.298086427
742	3.294985591
743	3.292767969
744	3.292281963
745	3.290833622
746	3.288487757
747	3.288148718
748	3.285640881
749	3.285068961
750	3.282712392
751	3.279532322
752	3.279154159
753	3.277391899
754	3.275410019
755	3.274640739
756	3.272630976
757	3.271704379
758	3.270657423
759	3.269106275
760	3.268587582
761	3.266099995
762	3.263606878
763	3.262504112
764	3.260223997
765	3.258567167
766	3.256593939
767	3.253533673
768	3.25131352
769	3.249379945
770	3.249254552
771	3.247779936
772	3.246926867
773	3.245481656
774	3.244555352
775	3.242092912
776	3.239207424
777	3.236323898
778	3.236184022
779	3.235839492
780	3.234904782
781	3.233957522
782	3.232870018
783	3.232163513
784	3.229751387
785	3.22691168
786	3.224207877
787	3.222306926
788	3.220811951
789	3.218140465
790	3.216769282
791	3.216598144
792	3.212964595
793	3.210851698
794	3.209324039
795	3.207299461
796	3.206976314
797	3.205329574
798	3.203642427
799	3.20257051
800	3.201033857
801	3.1990131
802	3.197032886
803	3.195987975
804	3.195089392
805	3.192998667
806	3.192763024
807	3.192397692
808	3.190487715
809	3.18825122
810	3.186493654
811	3.185232019
812	3.184197346
813	3.182972627
814	3.18093323
815	3.178514424
816	3.177356557
817	3.176496653
818	3.173340255
819	3.171253275
820	3.170813745
821	3.168042669
822	3.165661699
823	3.164674855
824	3.162995816
825	3.159773651
826	3.157956894
827	3.156708122
828	3.155368707
829	3.153497925
830	3.151491664
831	3.149271482
832	3.148161481
833	3.147239114
834	3.14518063
835	3.143044942
836	3.141218273
837	3.139550495
838	3.139017126
839	3.138718642
840	3.138055998
841	3.136849434
842	3.134722029
843	3.134119903
844	3.131684146
845	3.130953218
846	3.130500636
847	3.128492314
848	3.124314578
849	3.122833415
850	3.121852293
851	3.121574277
852	3.117323054
853	3.115246698
854	3.113810834
855	3.112869397
856	3.109939714
857	3.108662986
858	3.10664837
859	3.104730216
860	3.104166878
861	3.100676476
862	3.100332005
863	3.098212477
864	3.097804818
865	3.095621984
866	3.094321926
867	3.091494646
868	3.088672103
869	3.08787009
870	3.086190968
871	3.085287251
872	3.084473428
873	3.083111358
874	3.081760252
875	3.080447879
876	3.079924589
877	3.078555204
878	3.078026897
879	3.077394901
880	3.07537728
881	3.073941504
882	3.070996138
883	3.070841336
884	3.069674303
885	3.068760529
886	3.068269146
887	3.06779026
888	3.064781758
889	3.06100733
890	3.059328364
891	3.057896038
892	3.055018595
893	3.053097992
894	3.052952895
895	3.050897793
896	3.048451636
897	3.046295073
898	3.044932485
899	3.044037869
900	3.043431075
901	3.040990813
902	3.040823674
903	3.039580717
904	3.037261242
905	3.034937156
906	3.034695411
907	3.031981181
908	3.030252536
909	3.027708058
910	3.026505139
911	3.025287309
912	3.023648372
913	3.020745081
914	3.019267193
915	3.018554555
916	3.01671368
917	3.014610813
918	3.011256652
919	3.008597689
920	3.005541863
921	3.003595254
922	3.00126143
923	3.000445624
924	2.998933905
925	2.998485626
926	2.996658336
927	2.995125486
928	2.994108774
929	2.993144719
930	2.991807385
931	2.989443957
932	2.98856639
933	2.988356693
934	2.987060863
935	2.986636318
936	2.986151383
937	2.984957197
938	2.983322906
939	2.97984868
940	2.979560997
941	2.979021975
942	2.976167043
943	2.974605633
944	2.973855366
945	2.973492511
946	2.972866368
947	2.971202411
948	2.969015051
949	2.967661805
950	2.965844372
951	2.963999391
952	2.963109086
953	2.961722109
954	2.961252491
955	2.960182836
956	2.958718499
957	2.957777221
958	2.9555961
959	2.954008685
960	2.951995615
961	2.950448492
962	2.948944062
963	2.947585968
964	2.946249584
965	2.945043594
966	2.942001919
967	2.940325344
968	2.93852095
969	2.937473923
970	2.937100888
971	2.93648272
972	2.934120268
973	2.933604027
974	2.93190473
975	2.931511096
976	2.929738228
977	2.929341618
978	2.926593577
979	2.924709082
980	2.921422098
981	2.919482025
982	2.917541569
983	2.917025783
984	2.916365465
985	2.914370864
986	2.912767928
987	2.911050403
988	2.910930996
989	2.909723393
990	2.908635603
991	2.908036648
992	2.905757047
993	2.904708862
994	2.903647446
995	2.902641369
996	2.901043605
997	2.90076907
998	2.898989258
999	2.896794664
